"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"12","codmine00075","Mane de guerre",2021-07-18,"Ituri",33,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"13","codmine00076","Maroc",2021-09-20,"Ituri",14,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"14","codmine00077","Disco",2021-09-23,"Ituri",25,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"15","codmine00078","Camp Mambasa",2021-07-21,"Ituri",12,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"16","codmine00081","Tindika",2021-07-02,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Jaune","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"17","codmine00083","Makele",2021-06-19,"Ituri",200,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciale d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"18","codmine00085","Jerusalem",2021-06-16,"Ituri",150,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Concassage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"19","codmine00090","Kotakoli",2021-06-18,"Ituri",160,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"20","codmine00097","Masenze",2021-06-28,"Ituri",21,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"21","codmine00098","Mandimo 1",2021-06-27,"Ituri",15,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"22","codmine00099","Mataha",2021-06-26,"Ituri",28,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","Observed","Lavage","IPIS - Madini"
"23","codmine00101","Camp Base",2021-06-25,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"24","codmine00102","Mandje",2021-06-28,"Ituri",25,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - Madini"
"25","codmine00149","Dilolo",2022-08-19,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Plus d'une fois par semaine","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure, Ramasser les pierres à la surface","IPIS - USAID"
"26","codmine00151","Lele modi",2022-08-20,"Ituri",320,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Usage du mercure","IPIS - USAID"
"27","codmine00153","Kolwezi",2022-08-23,"Ituri",2600,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Une fois par mois","Police Nationale Congolaise (sauf PMH)","Quotidien",NA,NA,"SAEMAPE","Division des mines","Chefferie","Afridex","No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - USAID"
