"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"14","codmine00057","Cinquantenaire (SOMIBAF)",2021-07-13,"Ituri",60,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Jaune","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"15","codmine00058","Mont Ngaliema",2021-07-12,"Ituri",10,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"16","codmine00064","Mabukulu",2021-07-09,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"17","codmine00065","Togo",2021-07-08,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Vert","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"18","codmine00068","Kanzambu",2021-07-04,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,"SAEMAPE","Division des mines","DGRPI (Direction Générale des recettes provinciales d'ituri)",NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"19","codmine00069","Pede",2021-07-03,"Ituri",85,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"20","codmine00070","Mandelendele",2021-09-28,"Ituri",4,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"21","codmine00071","Mapeda",2021-09-25,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"22","codmine00073","Mandulu",2021-09-29,"Ituri",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"23","codmine00074","Masikini",2021-07-18,"Ituri",70,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri DGRPI)(",NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"24","codmine00075","Mane de guerre",2021-07-18,"Ituri",33,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"25","codmine00076","Maroc",2021-09-20,"Ituri",14,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"26","codmine00077","Disco",2021-09-23,"Ituri",25,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"27","codmine00078","Camp Mambasa",2021-07-21,"Ituri",12,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"28","codmine00081","Tindika",2021-07-02,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Jaune","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"29","codmine00083","Makele",2021-06-19,"Ituri",200,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciale d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"30","codmine00085","Jerusalem",2021-06-16,"Ituri",150,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Concassage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"31","codmine00090","Kotakoli",2021-06-18,"Ituri",160,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
