Unnamed: 0,name,visit_date,province,workers_numb,mineral1,mineral2,mineral3,mercury,interference,armed_group1,armed_group2,armed_group3,state_service1,state_service2,state_service3,state_service4,childunder15work
204,Kaneto 1,2021-11-13,Sud-Kivu,8,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,
205,Ibonga/Mungole,2022-08-25,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
206,Mulolo,2021-11-30,Sud-Kivu,300,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
207,Libaku ya suka,2022-08-29,Sud-Kivu,300,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,,"Lavage, Traiter les déchets, Usage du mercure"
208,Kagolo Masanga,2022-08-31,Sud-Kivu,80,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,Anti-fraude,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
209,Binenke,2022-09-03,Sud-Kivu,30,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,DGI,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
210,Matamba,2021-05-19,Sud-Kivu,0,Cassitérite,Coltan,,No data,Observed,Raïa Mutomboki,,,,,,,
211,Swiza,2021-05-18,Sud-Kivu,0,Cassitérite,,,No data,Observed,Raïa Mutomboki,,,,,,,
212,Tchelamazi,2021-05-19,Sud-Kivu,15,Cassitérite,Coltan,,No data,Observed,Raïa Mutomboki,,,,,,,
213,Tukutu,2021-05-24,Sud-Kivu,300,Cassitérite,Coltan,,No data,Observed,FARDC,,,SAEMAPE,Division des mines,,,"Creuser, Creuser sous terre"
214,Kansele,2021-05-28,Sud-Kivu,32,Coltan,Cassitérite,,No data,Observed,FARDC,Raïa Mutomboki,,,,,,"Concassage, Traiter les déchets"
215,Luguguma,2021-10-30,Sud-Kivu,56,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage, Traiter les déchets"
216,Kasangwa,2021-11-18,Sud-Kivu,12,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,DGI,
217,Camp Nsoko,2021-11-18,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
218,Lumbuzi,2021-11-09,Sud-Kivu,18,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,Chefferie,
219,Katuto,2022-01-22,Sud-Kivu,20,Or,,,None observed,None observed,,,,,,,,
220,Kayemba,2022-01-28,Sud-Kivu,300,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,Anti-fraude,"Creuser, Lavage, Traiter les déchets"
221,Mumbunde,2022-01-28,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
222,Bahombo/Kalutindi,2022-01-26,Sud-Kivu,250,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,,
223,Kaminkya/Koweit,2022-01-26,Sud-Kivu,30,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Anti-fraude,,Creuser
224,Mont Ngaliema,2022-02-10,Sud-Kivu,60,Or,,,None observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,,
225,Kabitako,2022-02-10,Sud-Kivu,200,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Environnement,,
226,Nyamikundu/Ngoyi,2022-02-11,Sud-Kivu,50,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,,
227,Nyamasani,2022-01-01,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
228,Kisangani,2022-02-12,Sud-Kivu,800,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),Maï-Maï Malaika,SAEMAPE,Division des mines,Chefferie,Groupement,
229,Katuzu,2021-10-15,Sud-Kivu,120,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage"
230,Kiziba,2021-10-15,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
231,Nyasa,2021-10-08,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
232,Kilunga,2021-10-06,Sud-Kivu,60,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
233,Kolo,2021-10-06,Sud-Kivu,20,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
234,Simali,2021-09-29,Sud-Kivu,100,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,Groupement,"Lavage, Traiter les déchets"
235,Carrière A Tuliona,2021-09-28,Sud-Kivu,350,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Groupement,
236,Carrière D 18 Sud/Kasopo,2021-10-07,Sud-Kivu,1000,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Concassage, Lavage, Traiter les déchets"
237,Carrière G7 Sud,2021-09-30,Sud-Kivu,110,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Groupement,
238,Poudrier,2021-09-27,Sud-Kivu,200,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
239,Carrière G7 Nord,2021-09-30,Sud-Kivu,500,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Groupement,Creuser
240,Carrière G3,2021-10-01,Sud-Kivu,500,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Groupement,
241,Njolinjoli,2021-10-01,Sud-Kivu,300,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,Groupement,"Creuser, Lavage"
242,Bivuye,2021-10-04,Sud-Kivu,1000,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,
243,Makalanga,2021-10-02,Sud-Kivu,50,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage, Traiter les déchets"
244,Kakulu,2023-03-03,Sud-Kivu,130,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
245,Zombe,2023-03-08,Sud-Kivu,500,Cassitérite,,,No data,Observed,Maï-Maï Lwesula,,,SAEMAPE,Division des mines,Chefferie,,
246,Kamosho/Nord-Est,2021-09-25,Sud-Kivu,100,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
247,Nyangoma Wananzo,2021-10-11,Sud-Kivu,15,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
248,Wameli,2021-10-07,Sud-Kivu,70,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Anti-fraude,
249,Kagolomba,2021-10-06,Sud-Kivu,150,Or,Cassitérite,,Observed,Observed,FARDC,,,Division des mines,SAEMAPE,Anti-fraude,Chefferie,"Lavage, Traiter les déchets"
250,Kyamilemba,2021-10-07,Sud-Kivu,80,Or,Cassitérite,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Anti-fraude,"Creuser, Lavage, Usage du mercure"
251,Kalekwa,2021-10-09,Sud-Kivu,120,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,Anti-fraude,"Creuser, Lavage"
252,Ontario,2021-10-01,Sud-Kivu,60,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,Lavage
253,Camp ibulungu,2021-09-30,Sud-Kivu,50,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Lavage, Traiter les déchets, Usage du mercure"
254,Luwawa/Karonza,2021-09-29,Sud-Kivu,12,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,
255,Ntangila,2021-09-27,Sud-Kivu,80,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage, Traiter les déchets"
256,Waninki,2021-09-28,Sud-Kivu,23,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
257,Kabereke,2021-09-26,Sud-Kivu,50,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
258,Museka,2022-09-24,Sud-Kivu,150,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Anti-fraude,Chefferie,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
259,Buzumbura (1 et 2),2022-09-23,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
260,Bujumbura,2022-09-22,Sud-Kivu,200,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Anti-fraude,Chefferie,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
261,Itabi,2023-03-13,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
262,Bikolongo,2023-03-13,Sud-Kivu,180,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
263,Bofutakasheshe-Kamba,2022-01-01,Sud-Kivu,0,Or,Wolframite,,No data,None observed,,,,,,,,
264,Ngandjo,2022-01-01,Sud-Kivu,0,Wolframite,,,No data,None observed,,,,,,,,
265,Kitendebwa,2022-01-26,Sud-Kivu,20,Or,,,None observed,Observed,Raïa Mutomboki,,,SAEMAPE,Division des mines,,,"Creuser sous terre, Lavage"
266,Lijiwe 2/Mbesho,2022-01-24,Sud-Kivu,30,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,Creuser
267,Lijiwe,2022-01-24,Sud-Kivu,35,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
268,Nyawarongo,2022-01-15,Sud-Kivu,50,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
269,Nyawaronga centre,2022-01-15,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
270,Kaitolea Cabangi,2022-01-20,Sud-Kivu,65,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
271,Witende,2022-01-21,Sud-Kivu,45,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
272,Kahirenge,2022-01-21,Sud-Kivu,150,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage"
273,Kairenge II,2022-01-01,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
274,Chez Madame,2021-05-14,Sud-Kivu,10,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
275,Central,2021-05-15,Sud-Kivu,75,Cassitérite,Tourmaline,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage"
276,Biriki,2021-06-03,Sud-Kivu,40,Cassitérite,Coltan,,No data,None observed,,,,SAEMAPE,Division des mines,,,
277,Misumari,2021-06-01,Sud-Kivu,30,Cassitérite,Coltan,,No data,None observed,,,,SAEMAPE,Division des mines,,,
278,Mungwe,2021-06-02,Sud-Kivu,15,Coltan,Manganèse,,No data,None observed,,,,SAEMAPE,Division des mines,,,
279,Katandari,2021-05-28,Sud-Kivu,30,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
280,Rubona,2021-06-03,Sud-Kivu,120,Or,Tourmaline,,None observed,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
281,Kavumu,2021-05-29,Sud-Kivu,25,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
282,Mashango,2021-05-19,Sud-Kivu,70,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage"
283,Fangere,2021-05-18,Sud-Kivu,105,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
284,Bishaka,2022-01-17,Sud-Kivu,30,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
285,Kironge,2022-01-17,Sud-Kivu,20,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
286,Mwamidjui,2022-01-16,Sud-Kivu,30,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,Creuser
287,Bikunda,2022-01-18,Sud-Kivu,50,Or,Cassitérite,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
288,Kasese 1,2022-01-22,Sud-Kivu,30,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
289,Kasese 2,2022-01-22,Sud-Kivu,50,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
290,Kanyanja,2022-01-22,Sud-Kivu,6,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
291,Mushangi D8,2022-07-13,Sud-Kivu,150,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
292,Colline 6,2022-07-22,Sud-Kivu,65,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
293,Colline 1,2022-07-21,Sud-Kivu,60,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
294,Misheke G18,2022-07-26,Sud-Kivu,600,Cassitérite,,,No data,None observed,,,,SAEMAPE,Chefferie,Chefferie,,
295,Kilima Kwale,2022-07-23,Sud-Kivu,100,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
296,Bushushu,2022-07-23,Sud-Kivu,50,Wolframite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
297,Namadava,2022-07-27,Sud-Kivu,50,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
298,Zolazola D23,2022-07-13,Sud-Kivu,120,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,Chefferie,"Creuser, Lavage"
299,Muhinga,2022-07-18,Sud-Kivu,70,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Creuser sous terre, Concassage, Lavage"
300,Sebwa-Lukoma,2022-07-16,Sud-Kivu,383,Cassitérite,,,No data,Observed,Raïa Mutomboki,,,Chefferie,,,,
301,Rwamakaza,2022-07-16,Sud-Kivu,0,Cassitérite,,,No data,None observed,,,,,,,,
302,Mufa,2022-08-02,Sud-Kivu,90,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage, Traiter les déchets"
303,Kalongo,2022-08-01,Sud-Kivu,50,Cassitérite,Wolframite,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
304,Chidira,2022-07-30,Sud-Kivu,60,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage, Traiter les déchets"
305,Nyamurhale/Lubona,2022-07-09,Sud-Kivu,340,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Concassage, Lavage"
306,Mukungwe,2022-08-03,Sud-Kivu,1500,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Transport des minerais"
307,Chinda,2022-07-29,Sud-Kivu,0,Cassitérite,Wolframite,,No data,None observed,,,,,,,,
308,Chinda 2,2022-07-29,Sud-Kivu,85,Or,Wolframite,,None observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
309,Cishembe,2022-07-29,Sud-Kivu,0,Cassitérite,Or,,No data,None observed,,,,,,,,
310,Nyakabindi,2022-07-09,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
311,Nyampeho,2022-07-25,Sud-Kivu,50,Cassitérite,Wolframite,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
312,Chaminyago,2022-07-11,Sud-Kivu,120,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Lavage, Traiter les déchets"
313,Rhana,2022-07-12,Sud-Kivu,0,Cassitérite,,,No data,None observed,,,,,,,,
314,Ma Boutiques,2021-05-30,Sud-Kivu,22,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,Anti-fraude,DGI,"Creuser, Lavage, Traiter les déchets"
315,Kapanga,2021-05-26,Sud-Kivu,42,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,Anti-fraude,DGI,Traiter les déchets
316,Deux Maisons,2021-05-25,Sud-Kivu,127,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,Anti-fraude,DGI,"Lavage, Traiter les déchets"
317,Idjwi,2021-06-02,Sud-Kivu,18,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,Anti-fraude,DGI,
318,Kenya,2021-05-23,Sud-Kivu,150,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,Anti-fraude,DGI,
319,Bisembe,2021-06-03,Sud-Kivu,15,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Maï-Maï EBUELA MUTETEZI,SAEMAPE,Division des mines,,,
320,Kimbi,2021-09-22,Sud-Kivu,105,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Police des Mines (PMH),SAEMAPE,Division des mines,Village,CNLFM,"Creuser, Lavage, Traiter les déchets"
321,Lumbwe II,2021-12-14,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
322,Lwiko dredges,2021-12-14,Maniema,0,Or,,,No data,None observed,,,,,,,,
323,Tolongwa,2021-12-06,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
324,Etunga,2021-10-04,Sud-Kivu,100,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Police des Mines (PMH),SAEMAPE,Division des mines,Village,CNLFM,
325,Marenge,2021-09-30,Tanganyika,920,Or,,,None observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,,SAEMAPE,Division des mines,Village,CNLFM,"Creuser, Lavage, Traiter les déchets"
326,Kitumba,2023-03-08,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
327,Kabanja,2023-03-07,Sud-Kivu,74,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
328,Masunga,2023-03-07,Sud-Kivu,48,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
329,Rutabataba 1 (ancien site TransAfrica),2023-03-07,Sud-Kivu,37,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
330,Rutabataba 2,2023-03-07,Sud-Kivu,0,Or,,,No data,None observed,,,,,,,,
331,Rugezi,2023-03-08,Sud-Kivu,63,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
332,Michikachika,2023-03-03,Sud-Kivu,35,Or,,,Observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
333,Kahila,2023-03-07,Sud-Kivu,10,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
334,Namulombwe,2023-03-07,Sud-Kivu,6,Or,,,None observed,Observed,FABB (Forces Armées Biloze Bishambuki),,,,,,,
335,Bigaragara,2023-03-07,Sud-Kivu,110,Or,,,Observed,Observed,FABB (Forces Armées Biloze Bishambuki),Ngomino,,,,,,
336,Kenya,2023-02-27,Sud-Kivu,150,Or,,,None observed,Observed,Ngomino,,,,,,,
337,Filon 14 (Lwemba),2023-02-19,Sud-Kivu,75,Or,,,Observed,Observed,Maï-Maï Mutetezi,,,SAEMAPE,Division des mines,,,
338,Malewa,2022-10-01,Tanganyika,1000,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Groupement,,
339,Jogo/La mort/Ocean,2022-09-26,Tanganyika,354,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,,Groupement,
340,Bovu,2022-09-13,Tanganyika,0,Coltan,,,No data,None observed,,,,,,,,
341,Usinikorege,2022-09-06,Tanganyika,25,Coltan,,,No data,Observed,FARDC,,,SAEMAPE,,,,
342,Mamba,2022-09-28,Tanganyika,0,Or,,,No data,None observed,,,,,,,,
343,Mutotolwa,2022-02-20,Tanganyika,26,Or,,,Observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Groupement,"Transport des minerais, Traiter les déchets"
344,Kampunzu/Camp Nord,2022-02-24,Tanganyika,107,Or,,,Observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Groupement,
345,Mpama,2022-02-17,Tanganyika,200,Or,,,Observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Groupement,
346,Kabusano,2022-02-19,Tanganyika,0,Or,,,No data,None observed,,,,,,,,
347,Kazombwe,2022-02-26,Tanganyika,30,Or,,,Observed,None observed,FARDC,,,ANR,Division des mines,,Groupement,
348,Ntoya/Kantipa,2022-02-07,Tanganyika,66,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,,Traiter les déchets
349,Tokomeka,2022-08-03,Maniema,0,Wolframite,,,No data,None observed,,,,,,,,
350,Lubolola/Misoke,2023-03-19,Maniema,407,Cassitérite,Wolframite,,No data,Observed,Police Nationale Congolaise (sauf PMH),,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
351,Lengwe,2022-01-01,Tanganyika,0,Cassitérite,,,No data,None observed,,,,,,,,
352,Kavuta,2021-10-03,Nord-Kivu,50,Coltan,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
353,Tchembeke,2022-07-15,Sud-Kivu,80,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,
354,Bipemba 1 kitamuna,2023-03-11,Maniema,0,Or,,,No data,None observed,,,,,,,,
355,Bimpemba,2023-03-11,Maniema,95,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),FARDC,SAEMAPE,Division des mines,,,"Creuser, Lavage"
356,Bukavu ya Bunga,2023-03-11,Maniema,160,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets, Usage du mercure"
357,Ekubuka kitamuna,2023-03-11,Maniema,0,Or,,,No data,None observed,,,,,,,,
358,Siera kitamuna,2023-03-11,Maniema,0,Or,,,No data,None observed,,,,,,,,
359,4 kilomètre,2022-09-04,Tanganyika,90,Coltan,,,No data,Observed,FARDC,,,SAEMAPE,Division des mines,,Groupement,"Creuser, Lavage, Traiter les déchets"
360,Atwamani 1,2022-07-26,Maniema,0,Or,,,No data,None observed,,,,,,,,
361,Atwamani 2,2022-07-26,Maniema,0,Or,,,No data,None observed,,,,,,,,
362,Matongo Bujana,2022-08-31,Tanganyika,73,Coltan,,,No data,Observed,FARDC,,,SAEMAPE,Division des mines,,,
363,Cadeza,2022-09-23,Tanganyika,62,Or,,,Observed,Observed,Maï-Maï Hapa na pale,,,,,,,
364,Centrale kitamuna,2023-03-13,Maniema,137,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets, Usage du mercure"
365,Debic,2022-09-13,Tanganyika,27,Coltan,,,No data,Observed,FARDC,,,SAEMAPE,,,,"Creuser, Lavage, Traiter les déchets"
366,Kalomola 1 kitamuna,2023-03-13,Maniema,0,Or,,,No data,None observed,,,,,,,,
367,Kalomola 2 kitamuna,2023-03-13,Maniema,0,Or,,,No data,None observed,,,,,,,,
368,Katato,2022-09-02,Tanganyika,75,Coltan,,,No data,None observed,FARDC,,,SAEMAPE,,,,"Creuser, Lavage"
369,Kima,2022-07-26,Maniema,130,Or,,,Observed,Observed,FARDC,FARDC,,SAEMAPE,Division des mines,DGRMA,,"Creuser, Lavage, Traiter les déchets"
370,Kisimba mombo,2022-09-08,Tanganyika,6,Coltan,,,No data,Observed,FARDC,Maï-Maï Hapa na pale,,,,,,
371,La vie,2022-09-01,Tanganyika,397,Coltan,,,No data,Observed,FARDC,,,SAEMAPE,Division des mines,,ANR,"Lavage, Traiter les déchets"
372,Liboka,2022-09-11,Tanganyika,0,Coltan,,,No data,None observed,,,,,,,,
373,Lisala,2021-09-19,Ituri,6,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
374,Mala,2021-11-12,Tanganyika,113,Or,,,Observed,Observed,FARDC,Maï-Maï Bitonto,,SAEMAPE,Division des mines,Chefferie,,
375,Mambalu,2022-02-10,Nord-Kivu,55,Or,Cassitérite,,Observed,None observed,,,,SAEMAPE,Division des mines,,Service d'environnement et L'OBLC( Office pour la bonne gouvernance et la lutte contre la corruption),
376,Manjaga,2021-11-24,Nord-Kivu,0,Coltan,Or,,No data,None observed,,,,,,,,
377,Mili,2022-02-10,Nord-Kivu,44,Cassitérite,Or,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
378,Mitondo,2021-09-29,Sud-Kivu,1500,Or,,,Observed,Observed,FARDC,Maï-Maï  YAKUTUMBA,Police des Mines (PMH),SAEMAPE,Division des mines,Secteur,CNLFM,
379,Musebe 2,2022-08-31,Tanganyika,0,Coltan,,,No data,None observed,,,,,,,,
380,Musubi,2022-09-27,Tanganyika,0,Or,,,No data,None observed,,,,,,,,
381,Pitise,2021-11-26,Nord-Kivu,72,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
382,Sans souci,2021-09-18,Ituri,20,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,"Creuser, Lavage, Traiter les déchets"
383,Stade /murefu,2022-09-08,Tanganyika,185,Coltan,,,No data,Observed,FARDC,Maï-Maï Hapa na pale,,SAEMAPE,,,,"Creuser, Lavage, Traiter les déchets"
384,Wemba,2022-09-10,Tanganyika,74,Coltan,,,No data,Observed,FARDC,Maï-Maï Hapa na pale,,,,,,"Creuser, Lavage, Traiter les déchets"
385,Mbigili/Zongwe,2022-09-27,Tanganyika,42,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Groupement,,
386,Filon II,2021-05-17,Sud-Kivu,250,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
387,Mahamba,2022-07-11,Sud-Kivu,80,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,Chefferie,,"Lavage, Traiter les déchets"
388,Malumbenze,2021-11-30,Nord-Kivu,16,Coltan,,,No data,None observed,,,,SAEMAPE,Division des mines,,,
389,Masingi,2021-11-17,Nord-Kivu,0,Coltan,,,No data,None observed,,,,,,,,
390,Makumo,2021-11-05,Tshopo,8,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,ANR,,
391,Mankenga,2022-02-19,Maniema,350,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,ANR,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
392,Mawamba,2021-06-24,Ituri,30,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,"Concassage, Lavage, Transport des minerais"
393,Mulunguyi,2021-11-25,Tanganyika,700,Or,,,Observed,Observed,FARDC,Maï-Maï Apa Na Pale,,SAEMAPE,Division des mines,,Groupement,Transport des minerais
