province,Likelihood of mercury usage (%)
Tshopo,2.5559105431309903
Tanganyika,6.070287539936102
Haut-Uele,8.30670926517572
Nord-Kivu,12.779552715654951
Maniema,17.89137380191693
Sud-Kivu,25.559105431309902
Ituri,26.837060702875398
